observableId	simulationConditionId	measurement	time
observable_mRNA	simCondition	10.324869072732648	0.0
observable_mRNA	simCondition	8.783431737849133	0.1
observable_mRNA	simCondition	12.016215198644115	0.2
observable_mRNA	simCondition	24.538366292359548	0.5
observable_mRNA	simCondition	21.260222703975852	1.0
observable_mRNA	simCondition	12.828999804787918	1.5
observable_mRNA	simCondition	10.081065823162717	2.0
observable_mRNA	simCondition	7.7389821034524005	2.5
observable_mRNA	simCondition	6.972409933514766	3.0
observable_mRNA	simCondition	6.551221072939566	3.5
observable_mRNA	simCondition	6.846098990541102	4.0
observable_mRNA	simCondition	6.725572637665391	4.5
observable_mRNA	simCondition	7.499265058012249	5.0
observable_mRNA	simCondition	8.456930075070845	6.0
observable_mRNA	simCondition	8.97781924398443	7.0
observable_mRNA	simCondition	8.368962272106156	8.0
observable_mRNA	simCondition	8.302673533580416	9.0
observable_mRNA	simCondition	8.115968771066328	10.0
observable_mRNA	simCondition	8.303594190237407	11.0
observable_mRNA	simCondition	8.444938659093188	12.0
observable_mRNA	simCondition	8.184302401996367	13.0
observable_mRNA	simCondition	8.554723015023322	14.0
observable_mRNA	simCondition	8.502539746936561	15.0
