observableId	simulationConditionId	measurement	time
observable_pYR	simCondition	0.0	0.0
observable_pYR	simCondition	0.019140961000293322	10.0
observable_pYR	simCondition	0.018059262254229512	20.0
observable_pYR	simCondition	0.016271764872965742	30.0
observable_pYR	simCondition	0.01616023834100365	40.0
observable_pYR	simCondition	0.0148946433964439	50.0
observable_pYR	simCondition	0.016065332133380312	60.0
observable_pYR	simCondition	0.015259860874780692	70.0
observable_pYR	simCondition	0.015586296184515281	80.0
observable_pYR	simCondition	0.015407845679887134	90.0
observable_pYR	simCondition	0.01593719381876398	100.0
observable_pYR	simCondition	0.014846214859386829	110.0
