observableId	simulationConditionId	measurement	time
product	simCondition	108.82645404708303	2000.0
product	simCondition	210.19284534568283	4000.0
product	simCondition	310.19385645778254	6000.0
product	simCondition	401.42521254596	8000.0
product	simCondition	492.92957391848	10000.0
product	simCondition	539.2572080098589	12000.0
product	simCondition	596.4121214129914	14000.0
product	simCondition	592.5587994419304	16000.0
product	simCondition	601.3709069851002	18000.0
product	simCondition	598.4052653769044	20000.0
